Number,id_plot,province,latitude,longitude,altitude,aspect,MAT,MAP,Climate_change,slope,Forest_type,Forest_types,age,origin,origin_unsure,sucstage,area,Root_C_stock,lnRoot,Tree_C_stock,lnTree,Herb_layer_C_stock,lnHerb,Litter_layer_C_stock,lnLitter,Shrub_layer_C_stock,lnShrub,Woody_plant_C_stock,lnWoody,Total_aboveground_C_stock,lnabove,O_C_stock,lnOC,A_C_stock,lnAC,Total_soil_C_stock,lnTC,Total_belowground_C_stock,lnbelow,Total_forest_C_stock,lnTotalforest,AM_tree_C_stock,lnAM,EcM_tree_C_stock,lnEcM,C_stock_fraction_of_AM_tree,C_stock_fraction_of_EcM_tree,Ratio_of_AM_tree_C_to_EcM_tree_C,EcMrichness10,Amrichness10,species_richness10cm
266,GZ30,GZ,25.71224444,108.2161222,463,SE,18.5,1284,591.74075,28,Evergreen_broadleaved_forest,Broadleaved_forest,35,natural,natural,middle,500,12.36332711,2.514734599,189.0649999,5.242090871,NA,NA,NA,NA,NA,NA,189.0649999,5.242090871,176.7016727,5.174462846,19.0096282,2.944945598,17.66384735,2.871520028,36.67347555,3.602053757,49.03680267,3.892571091,225.7384754,5.419377141,189.0649998,5.24209087,NA,NA,100,0,NA,0,3,3
377,HB12,HB,31.68810278,111.3500778,1470,NW,8.5,1237,557.55525,5,Broadleaved_deciduous_forest,Broadleaved_forest,96,natural,natural,middle,600,10.43969172,2.345615053,96.25465655,4.566997352,NA,NA,NA,NA,NA,NA,96.25465655,4.566997352,85.81496483,4.452193407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.700976548,1.308596717,92.55368,4.527788801,3.84498442,96.15501558,0.039987352,1,2,3
378,HB13,HB,31.68770833,111.3511333,1480,SW,8.5,1237,557.55525,30,Broadleaved_deciduous_forest,Broadleaved_forest,85,natural,natural,middle,600,10.4124767,2.34300477,97.74723715,4.582384934,NA,NA,NA,NA,NA,NA,97.74723715,4.582384934,87.33476045,4.469748556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.667393084,0.981101622,95.07984408,4.554717003,2.728868008,97.27113199,0.028054243,1,0,1
1136,ZJ181,ZJ,29.31335,119.2577639,153,NE,17,1522,694.8025,10,Broadleaved_deciduous_forest,Broadleaved_forest,40,natural,natural,middle,600,19.01099232,2.945017355,118.8957572,4.778247119,NA,NA,0.149271703,-1.901987124,NA,NA,118.8957572,4.778247119,99.88476483,4.60401717,22.24632244,3.102176711,17.08026014,2.837923419,39.32658258,3.671900692,58.3375749,4.066246395,158.2223397,5.064001257,8.978461183,2.194828507,109.9172959,4.699728228,7.551540444,92.44845956,0.081683789,5,3,5
1143,ZJ188,ZJ,29.47249444,119.2372472,84,NW,16.7,1529,697.48995,40,Evergreen_broadleaved_forest,Broadleaved_forest,32,natural,natural,middle,600,3.888448618,1.358010265,33.66352573,3.516414929,NA,NA,0.159218202,-1.837479678,NA,NA,33.66352573,3.516414929,29.77507711,3.393671705,39.81080763,3.684138424,20.81531227,3.035688883,60.6261199,4.104725822,64.51456852,4.166891067,94.28964563,4.546371381,10.74578591,2.374513669,22.91773982,3.131911275,31.92115406,68.07884594,0.468885064,4,3,5
76,AH83,AH,32.33777778,118.01,142,SW,15.1,979,452.51535,5,Broadleaved_deciduous_forest,Broadleaved_forest,83,natural,natural,late,1000,12.45068781,2.521775867,50.33319065,3.918664713,NA,NA,0.185108696,-1.68681208,NA,NA,50.33319065,3.918664713,37.88250284,3.634489339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.33319065,3.918664713,NA,NA,100,0,NA,0,4,4
1098,ZJ143,ZJ,27.624525,118.923025,344,NW,17.6,1858,843.9526,30,Evergreen_broadleaved_forest,Broadleaved_forest,37,natural,natural,early,600,12.46072526,2.522581719,96.6668187,4.571270207,NA,NA,0.188778978,-1.667178377,NA,NA,96.6668187,4.571270207,84.20609344,4.433267287,20.79173239,3.034555426,15.09989779,2.714687975,35.89163018,3.580504126,48.35235544,3.878514937,132.5584489,4.887023672,59.80317311,4.091058722,36.69987193,3.602773265,61.86525418,37.96532503,1.62951994,12,13,15
1139,ZJ184,ZJ,29.46966111,119.271875,69,NE,17.3,1482,677.54555,20,Mixed_broadleaved_coniferous_forest,Mixed_forest,67,natural,natural,early,600,6.544569105,1.878635561,73.50289295,4.297324765,NA,NA,0.203558192,-1.591803359,NA,NA,73.50289295,4.297324765,66.95832385,4.204070394,37.40390403,3.621775085,12.25422305,2.505870616,49.65812708,3.905162065,56.20269619,4.028964731,123.16102,4.813492605,15.99836241,2.772486368,57.50453057,4.051863737,21.76562277,78.23437723,0.278210469,7,4,6
827,SC201,SC,28.54639444,100.1910333,3824,SW,4.5,699,314.65425,19,Evergreen_broadleaved_forest,Broadleaved_forest,83,natural,natural,middle,600,9.199810955,2.219182935,84.57282735,4.437613025,NA,NA,0.217239394,-1.526755335,NA,NA,84.57282735,4.437613025,75.37301639,4.322449338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.007392689,0.69683671,79.47093933,4.375391412,2.373566963,93.96746192,0.025259456,4,1,4
1091,ZJ136,ZJ,27.62513889,118.9093111,359,SW,16.5,1926,872.49675,35,Mixed_broadleaved_coniferous_forest,Mixed_forest,35,natural,natural,early,600,11.04903719,2.402343292,77.91788065,4.35565546,NA,NA,0.224331636,-1.494629804,NA,NA,77.91788065,4.35565546,66.86884346,4.202733141,23.34480151,3.150374326,13.3224842,2.589453149,36.6672857,3.60188496,47.71632289,3.865273538,114.5851664,4.741318358,32.24465509,3.473352296,45.49451758,3.817591826,41.3828698,58.38777597,0.708759139,13,13,16
